EXAMPLE_ID,RANK_1,RANK_2,RANK_3,RANK_4,RANK_5
ns_000001,ALIGN MASK LEVEL 2,EXPOSE LITHO LEVEL 2,POST EXPOSE BAKE,DEVELOP PHOTORESIST,PATTERN INSPECTION LEVEL 2
ns_000002,CLEAN AFTER METAL ETCH,STRIP PHOTORESIST,MEASURE LINE WIDTH,FINAL CD INSPECTION,DEPOSIT PASSIVATION
ns_000003,ANISOTROPIC ETCH SPACER,DEPOSIT SPACER DIELECTRIC,IMPLANT LDD,MEASURE SPACER WIDTH,IMPLANT SOURCE DRAIN
ns_000004,CLEAN AFTER VIA ETCH,VIA OPENING INSPECTION,FILL VIA TUNGSTEN,CMP VIA FILL,MEASURE VIA RESISTANCE
ns_000005,EXPOSE LITHO LEVEL 3,POST EXPOSE BAKE,MEASURE CD LEVEL 1,DEVELOP PHOTORESIST,PATTERN INSPECTION LEVEL 1
ns_000006,FINAL ELECTRICAL TEST PREP,YIELD ANALYSIS,FINAL LOT RELEASE,LOT RELEASE,SHIP LOT
ns_000007,ALIGN MASK LEVEL 1,EXPOSE LITHO LEVEL 1,POST EXPOSE BAKE,HARD BAKE,DEVELOP PHOTORESIST
ns_000008,FILL VIA TUNGSTEN,CMP VIA FILL,DEPOSIT METAL 1,MEASURE VIA RESISTANCE,VIA INSPECTION
ns_000009,DEPOSIT INTERLAYER DIELECTRIC,DENSIFY DIELECTRIC,CMP METAL,MEASURE SPACER WIDTH,DEPOSIT PAD OXIDE
ns_000010,MEASURE WINDOW CD,MEASURE OXIDE THICKNESS,MEASURE SURFACE DEFECTS,IMPLANT WELL,GATE OXIDE PREP
ns_000011,MEASURE POLY THICKNESS,POLYSILICON ETCH,ANISOTROPIC ETCH SPACER,DEPOSIT SPACER DIELECTRIC,MEASURE GATE CD
ns_000012,EXPOSE LITHO LEVEL 2,POST EXPOSE BAKE,MEASURE GATE CD,MEASURE LINE WIDTH,MEASURE GEOMETRY
ns_000013,DEVELOP PHOTORESIST,PATTERN INSPECTION LEVEL 1,METAL ETCH,STRIP PHOTORESIST,CLEAN AFTER METAL ETCH
ns_000014,DEVELOP PHOTORESIST,PATTERN INSPECTION LEVEL 1,MEASURE CD LEVEL 1,ETCH SILICON OR OXIDE WINDOW,CLEAN AFTER ETCH
ns_000015,MEASURE BACKSIDE CONTACT,MEASURE BACKSIDE ROUGHNESS,FINAL CLEAN,ELECTRICAL PARAMETRIC TEST,WAFER SORT TEST
ns_000016,DIELECTRIC ETCH VIA,VIA ETCH THROUGH DIELECTRIC,CLEAN AFTER VIA ETCH,VIA INSPECTION,FILL VIA TUNGSTEN
ns_000017,BACKSIDE THINNING CHECK,BACKSIDE DRY,BACKSIDE METALLIZATION PREP,BACKSIDE ETCH CLEAN,BACKSIDE RINSE
ns_000018,FILL VIA TUNGSTEN,CMP VIA FILL,DEPOSIT METAL 1,MEASURE VIA RESISTANCE,VIA INSPECTION
ns_000019,FILL VIA TUNGSTEN,CMP VIA FILL,DEPOSIT METAL 1,MEASURE VIA RESISTANCE,MEASURE FILM THICKNESS
