EXAMPLE_ID,RANK_1,RANK_2,RANK_3,RANK_4,RANK_5
ns_000001,ALIGN MASK LEVEL 4,ALIGN MASK LEVEL 2,,,
ns_000002,STRIP RESIST,STRIP PHOTORESIST,,,
ns_000003,IMPLANT SOURCE DRAIN,IMPLANT CHANNEL STOP,,,
ns_000004,STRIP PHOTORESIST,STRIP RESIST,,,
ns_000005,EXPOSE LITHO LEVEL 3,,,,
ns_000006,YIELD ANALYSIS,,,,
ns_000007,ALIGN MASK LEVEL 1,,,,
ns_000008,DEPOSIT METAL SEED,DEPOSIT TUNGSTEN SEED,,,
ns_000009,MEASURE JUNCTION PROFILE,DEPOSIT INTERLEVEL DIELECTRIC,DEPOSIT INTERLAYER DIELECTRIC,,
ns_000010,MEASURE OPENING CD,IMPLANT WELL,,,
ns_000011,MEASURE POLY THICKNESS,SPIN COAT PHOTORESIST,,,
ns_000012,EXPOSE LITHO LEVEL 2,,,,
ns_000013,DEVELOP PHOTORESIST,POST EXPOSE BAKE,,,
ns_000014,DEVELOP PHOTORESIST,,,,
ns_000015,FINAL CLEAN,,,,
ns_000016,HARD BAKE,DIELECTRIC ETCH VIA,VIA ETCH,VIA ETCH THROUGH DIELECTRIC,
ns_000017,MEASURE WAFER THICKNESS,MEASURE THICKNESS,,,
ns_000018,DEPOSIT METAL SEED,DEPOSIT TUNGSTEN SEED,,,
ns_000019,FILL VIA METAL,,,,
ns_000020,MEASURE DIELECTRIC THICKNESS,MEASURE FILM THICKNESS,,,
ns_000021,POLYSILICON ETCH,HARD BAKE,,,
ns_000022,EPITAXY ANNEAL,,,,
ns_000023,OXIDE ETCH,HARD BAKE,,,
ns_000024,FILL VIA METAL,,,,
ns_000025,MEASURE SURFACE PLANARITY,MEASURE PLANARITY,,,
ns_000026,BACKSIDE ANNEAL,,,,
ns_000027,BACKSIDE GRIND,DEPOSIT BACKSIDE PROTECTION,,,
ns_000028,GATE OXIDE GROWTH,,,,
ns_000029,INSPECT PATTERN LEVEL 1,PATTERN INSPECTION LEVEL 1,,,
ns_000030,ELECTRICAL PARAMETRIC TEST,PARAMETRIC TEST,FINAL ELECTRICAL TEST PREP,,
ns_000031,MEASURE JUNCTION PROFILE,DEPOSIT INTERLEVEL DIELECTRIC,DEPOSIT INTERLAYER DIELECTRIC,,
ns_000032,LOT RELEASE,FINAL LOT RELEASE,,,
ns_000033,EXPOSE LITHO LEVEL 1,,,,
ns_000034,HARD BAKE,DIELECTRIC ETCH VIA,VIA ETCH,VIA ETCH THROUGH DIELECTRIC,
ns_000035,BACKSIDE CLEAN,BACKSIDE GRIND,BACKSIDE THINNING CHECK,BACKSIDE CLEAN FINAL,
ns_000036,MEASURE VIA CD,DEPOSIT BARRIER METAL,,,
ns_000037,PAD WINDOW LITHO,OPEN PAD WINDOW LITHO,,,
ns_000038,MEASURE POLY THICKNESS,SPIN COAT PHOTORESIST,,,
ns_000039,ANISOTROPIC ETCH SPACER,,,,
ns_000040,MEASURE VIA CD,DEPOSIT BARRIER METAL,,,
ns_000041,DEPOSIT INTERLEVEL DIELECTRIC,DEPOSIT INTERLAYER DIELECTRIC,,,
ns_000042,MEASURE JUNCTION PROFILE,DEPOSIT INTERLEVEL DIELECTRIC,DEPOSIT INTERLAYER DIELECTRIC,,
ns_000043,MEASURE BACKSIDE CONTACT,,,,
ns_000044,CURE PASSIVATION,,,,
ns_000045,EXPOSE LITHO LEVEL 1,,,,
ns_000046,MEASURE LINE WIDTH,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,,
ns_000047,WET CLEAN RCA1,RCA CLEAN 1,,,
ns_000048,THERMAL OXIDATION,,,,
ns_000049,MEASURE GATE CD,IMPLANT SOURCE DRAIN,,,
ns_000050,BACKSIDE ANNEAL,,,,
ns_000051,IMPLANT LDD,,,,
ns_000052,FILL VIA METAL,,,,
ns_000053,MEASURE RESISTIVITY,,,,
ns_000054,EXPOSE LITHO LEVEL 4,,,,
ns_000055,STRIP PHOTORESIST,STRIP RESIST,,,
ns_000056,IMPLANT CHANNEL STOP,IMPLANT SOURCE DRAIN,,,
ns_000057,STRIP PHOTORESIST,STRIP RESIST,,,
ns_000058,GATE OXIDE GROWTH,,,,
ns_000059,DEVELOP PHOTORESIST,POST EXPOSE BAKE,,,
ns_000060,BACKSIDE ETCH CLEAN,,,,
ns_000061,MEASURE LINE WIDTH,DEPOSIT PASSIVATION LAYER,DEPOSIT PASSIVATION,,
