EXAMPLE_ID,RANK_1,RANK_2,RANK_3,RANK_4,RANK_5
ns_000001,ALIGN MASK LEVEL 2,EXPOSE LITHO LEVEL 2,POST EXPOSE BAKE,DEVELOP PHOTORESIST,PATTERN INSPECTION LEVEL 2
ns_000002,STRIP RESIST,CLEAN AFTER METAL ETCH,MEASURE LINE WIDTH,FRONTSIDE CLEAN,DEPOSIT PASSIVATION
ns_000003,SPIN COAT PHOTORESIST,DEPOSIT SPACER DIELECTRIC,FRONTSIDE CLEAN,WAFER SURFACE CLEAN,MEASURE SHEET RESISTANCE
ns_000004,STRIP PHOTORESIST,CLEAN AFTER VIA ETCH,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEPOSIT TUNGSTEN SEED
ns_000005,EXPOSE LITHO LEVEL 3,POST EXPOSE BAKE,DEVELOP PHOTORESIST,VIA ETCH THROUGH DIELECTRIC,MEASURE VIA CD
ns_000006,YIELD ANALYSIS,PACKAGE PREPARATION,FINAL ELECTRICAL TEST PREP,FINAL LOT RELEASE,SHIP LOT
ns_000007,ALIGN MASK LEVEL 1,EXPOSE LITHO LEVEL 1,POST EXPOSE BAKE,DEVELOP PHOTORESIST,HARD BAKE
ns_000008,DEPOSIT TUNGSTEN SEED,FILL VIA TUNGSTEN,CMP VIA FILL,DEPOSIT METAL SEED,FILL VIA METAL
ns_000009,WAFER SURFACE CLEAN,DEPOSIT INTERLAYER DIELECTRIC,DENSIFY DIELECTRIC,MEASURE DIELECTRIC THICKNESS,SPIN COAT PHOTORESIST
ns_000010,IMPLANT WELL,MEASURE WINDOW CD,IMPLANT N-TYPE,IMPLANT P BODY,WAFER SURFACE CLEAN
ns_000011,SPIN COAT PHOTORESIST,WAFER SURFACE CLEAN,MEASURE POLY THICKNESS,MEASURE SHEET RESISTANCE,MEASURE SURFACE PARTICLES
ns_000012,EXPOSE LITHO LEVEL 2,POST EXPOSE BAKE,DEVELOP PHOTORESIST,PATTERN INSPECTION LEVEL 2,HARD BAKE
ns_000013,POST EXPOSE BAKE,DEVELOP PHOTORESIST,METAL ETCH,STRIP RESIST,CLEAN AFTER METAL ETCH
ns_000014,DEVELOP PHOTORESIST,PATTERN INSPECTION LEVEL 1,MEASURE CD LEVEL 1,HARD BAKE,OXIDE ETCH
ns_000015,FINAL CLEAN,FINAL ELECTRICAL TEST PREP,ELECTRICAL PARAMETRIC TEST,WAFER SORT TEST,THRESHOLD VOLTAGE TEST
ns_000016,VIA ETCH THROUGH DIELECTRIC,DIELECTRIC ETCH VIA,VIA ETCH,CLEAN AFTER VIA ETCH,STRIP PHOTORESIST
ns_000017,BACKSIDE RINSE,DRY WAFER BACKSIDE,MEASURE WAFER THICKNESS,BACKSIDE THINNING CHECK,ETCH WET BACKSIDE
ns_000018,DEPOSIT TUNGSTEN SEED,FILL VIA TUNGSTEN,DEPOSIT METAL 1,DEPOSIT METAL SEED,MEASURE METAL THICKNESS
ns_000019,FILL VIA METAL,MEASURE METAL THICKNESS,MEASURE SHEET RESISTANCE,SURFACE PREP FOR DEPOSITION,CMP VIA FILL
ns_000020,SPIN COAT PHOTORESIST,SOFT BAKE,ALIGN MASK LEVEL 3,EXPOSE LITHO LEVEL 3,POST EXPOSE BAKE
ns_000021,POLYSILICON ETCH DRY,POLYSILICON ETCH,HARD BAKE,MEASURE CD LEVEL 2,MEASURE LINE WIDTH
ns_000022,EPITAXY ANNEAL,EPITAXIAL WAFER CHECK,WAFER SURFACE CLEAN,THERMAL OXIDATION,EPITAXIAL REWORK CHECK
