EXAMPLE_ID,IS_VALID,SCORE,PREDICTED_RULE
an_000001,0,0.4372,
an_000002,0,0.4829,
an_000003,0,0.2178,
an_000004,0,0.2106,
an_000005,0,0.3282,
an_000006,1,0.5128,
an_000007,1,0.5278,
an_000008,1,0.5022,
an_000009,0,0.1609,
an_000010,0,0.3087,
an_000011,1,0.5513,
an_000012,1,0.5305,
an_000013,0,0.4726,
an_000014,0,0.4885,
an_000015,1,0.5752,
an_000016,1,0.5592,
an_000017,0,0.4104,
an_000018,1,0.5178,
an_000019,0,0.3523,
an_000020,1,0.5437,
an_000021,1,0.5039,
an_000022,1,0.5297,
an_000023,0,0.4174,
an_000024,1,0.5404,
an_000025,1,0.5542,
an_000026,0,0.3721,
an_000027,0,0.1879,
an_000028,0,0.4850,
an_000029,1,0.5008,
an_000030,1,0.5230,
an_000031,1,0.5675,
an_000032,0,0.3213,
an_000033,0,0.3694,
an_000034,0,0.4655,
an_000035,0,0.3373,
an_000036,1,0.5288,
an_000037,1,0.5441,
an_000038,1,0.5027,
an_000039,0,0.1694,
an_000040,0,0.1531,
an_000041,0,0.4251,
an_000042,0,0.4881,
an_000043,0,0.4648,
an_000044,1,0.5779,
an_000045,1,0.5661,
an_000046,1,0.5265,
an_000047,1,0.5158,
an_000048,0,0.3247,
an_000049,1,0.5160,
an_000050,0,0.4379,
an_000051,1,0.5292,
an_000052,0,0.3190,
an_000053,1,0.5508,
an_000054,1,0.5533,
an_000055,1,0.5468,
an_000056,1,0.5081,
an_000057,0,0.3376,
an_000058,0,0.4443,
an_000059,0,0.4532,
an_000060,1,0.5441,
an_000061,1,0.5210,
an_000062,1,0.5707,
an_000063,0,0.1089,
an_000064,0,0.4458,
an_000065,0,0.0950,
an_000066,0,0.2036,
an_000067,0,0.1957,
an_000068,0,0.2318,
an_000069,0,0.1520,
an_000070,0,0.4607,
an_000071,0,0.3961,
an_000072,0,0.1903,
an_000073,1,0.5652,
an_000074,0,0.1987,
an_000075,0,0.4543,
an_000076,0,0.4184,
an_000077,0,0.1089,
an_000078,0,0.4672,
