EXAMPLE_ID,RANK_1,RANK_2,RANK_3,RANK_4,RANK_5
ns_000001,ALIGN MASK LEVEL 2,ALIGN MASK LEVEL 3,POLY PATTERN INSPECTION,EXPOSE LITHO LEVEL 2,WAFER CLEAN PRE-GRIND
ns_000002,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,RCA CLEAN 2,WET CLEAN RCA2
ns_000003,IMPLANT SOURCE DRAIN,MEASURE GATE CD,IMPLANT CHANNEL STOP,DRY WAFER BACKSIDE,DEPOSIT SPACER DIELECTRIC
ns_000004,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,RCA CLEAN 2,WET CLEAN RCA2
ns_000005,EXPOSE LITHO LEVEL 3,EXPOSE LITHO LEVEL 4,ALIGN MASK LEVEL 3,SOFT BAKE,ETCH WET BACKSIDE
ns_000006,YIELD ANALYSIS,WAFER SORT TEST,EPITAXIAL LAYER PREP,SOFT BAKE,FINAL LOT RELEASE
ns_000007,ALIGN MASK LEVEL 1,EXPOSE LITHO LEVEL 1,CLEAN AFTER OXIDE ETCH,POLYSILICON ANNEAL,POLY PATTERN INSPECTION
ns_000008,DEPOSIT METAL SEED,PATTERN INSPECTION LEVEL 1,DEPOSIT TUNGSTEN SEED,ALIGN MASK LEVEL 6,FILL VIA METAL
ns_000009,MEASURE JUNCTION PROFILE,DEPOSIT INTERLEVEL DIELECTRIC,DEPOSIT INTERLAYER DIELECTRIC,MEASURE SHEET RESISTANCE,MEASURE DEVICE PARAMETER
ns_000010,MEASURE OPENING CD,IMPLANT WELL,IMPLANT P BODY,MEASURE POLY THICKNESS,RCA CLEAN 2
ns_000011,MEASURE POLY THICKNESS,SPIN COAT PHOTORESIST,MEASURE FILM THICKNESS,MEASURE METAL THICKNESS,STRIP RESIST
ns_000012,EXPOSE LITHO LEVEL 2,EXPOSE LITHO LEVEL 4,CLEAN AFTER WINDOW ETCH,CLEAN AFTER POLY ETCH,EXPOSE LITHO LEVEL 1
ns_000013,DEVELOP PHOTORESIST,POST EXPOSE BAKE,HARD BAKE,STRIP PHOTORESIST,DEVELOP PAD WINDOW
ns_000014,DEVELOP PHOTORESIST,POST EXPOSE BAKE,DEVELOP PAD WINDOW,STRIP PHOTORESIST,MEASURE SHEET RESISTANCE
ns_000015,FINAL CLEAN,FRONTSIDE CLEAN FINAL,MEASURE METAL THICKNESS,DEVELOP PAD WINDOW,FINAL THICKNESS MEASURE
ns_000016,HARD BAKE,DIELECTRIC ETCH VIA,VIA ETCH,VIA ETCH THROUGH DIELECTRIC,ETCH SILICON OR OXIDE WINDOW
ns_000017,MEASURE WAFER THICKNESS,MEASURE THICKNESS,MEASURE INITIAL THICKNESS,MEASURE INITIAL GEOMETRY,MEASURE GEOMETRY
ns_000018,DEPOSIT METAL SEED,PATTERN INSPECTION LEVEL 1,FILL VIA METAL,ALIGN MASK LEVEL 6,EXPOSE LITHO LEVEL 6
ns_000019,FILL VIA METAL,FILL VIA TUNGSTEN,BACKSIDE ETCH CLEAN,EXPOSE LITHO LEVEL 5,BACKSIDE RINSE
ns_000020,MEASURE FILM THICKNESS,MEASURE DIELECTRIC THICKNESS,MEASURE OXIDE THICKNESS,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS
ns_000021,POLYSILICON ETCH,HARD BAKE,METAL ETCH DRY,POLYSILICON ETCH DRY,DIELECTRIC ETCH VIA
ns_000022,EPITAXY ANNEAL,WAFER SURFACE CLEAN,P BODY WINDOW INSPECTION,CLEAN AFTER OXIDE ETCH,CLEAN AFTER ETCH
ns_000023,OXIDE ETCH,HARD BAKE,POLYSILICON ETCH DRY,METAL ETCH DRY,DIELECTRIC ETCH VIA
ns_000024,FILL VIA METAL,FILL VIA TUNGSTEN,BACKSIDE ETCH CLEAN,EXPOSE LITHO LEVEL 5,BACKSIDE RINSE
ns_000025,MEASURE PLANARITY,MEASURE SURFACE PLANARITY,WAFER CLEAN PRE-GRIND,IMPLANT WELL,MEASURE CD LEVEL 1
ns_000026,BACKSIDE ANNEAL,MEASURE PAD OPENING,MEASURE BACKSIDE CONTACT,DEPOSIT BACKSIDE PROTECTION,EXPOSE LITHO LEVEL 5
ns_000027,BACKSIDE GRIND,MEASURE BACKSIDE ROUGHNESS,BACKSIDE DRY,BACKSIDE RINSE,BACKSIDE ETCH CLEAN
ns_000028,GATE OXIDE GROWTH,MEASURE GATE OXIDE THICKNESS,EXPOSE LITHO LEVEL 5,POLYSILICON ANNEAL,ANNEAL OXIDE
ns_000029,PATTERN INSPECTION LEVEL 1,METAL PATTERN INSPECTION,ANNEAL DIELECTRIC,FIELD PATTERN INSPECTION,CLEAN AFTER ETCH
ns_000030,ELECTRICAL PARAMETRIC TEST,PARAMETRIC TEST,FINAL PARTICLE INSPECTION,THRESHOLD VOLTAGE TEST,FINAL ELECTRICAL TEST PREP
ns_000031,MEASURE JUNCTION PROFILE,DEPOSIT INTERLAYER DIELECTRIC,DEPOSIT INTERLEVEL DIELECTRIC,MEASURE SHEET RESISTANCE,MEASURE DEVICE PARAMETER
ns_000032,LOT RELEASE,FINAL LOT RELEASE,YIELD ANALYSIS,WAFER SORT TEST,MEASURE PASSIVATION QUALITY
ns_000033,EXPOSE LITHO LEVEL 1,EXPOSE LITHO LEVEL 4,EXPOSE LITHO LEVEL 2,ALIGN MASK LEVEL 1,CLEAN AFTER VIA ETCH
ns_000034,HARD BAKE,DIELECTRIC ETCH VIA,VIA ETCH,VIA ETCH THROUGH DIELECTRIC,POLYSILICON ETCH DRY
