EXAMPLE_ID,RANK_1,RANK_2,RANK_3,RANK_4,RANK_5
ns_000001,ALIGN MASK LEVEL 2,CLEAN AFTER WINDOW ETCH,CLEAN AFTER METAL ETCH,FINAL CLEAN,BREAKDOWN VOLTAGE TEST
ns_000002,STRIP RESIST,STRIP PHOTORESIST,FINAL CD INSPECTION,WAFER SORT TEST,MEASURE PASSIVATION THICKNESS
ns_000003,IMPLANT SOURCE DRAIN,MEASURE GATE CD,IMPLANT CHANNEL STOP,ALIGN MASK LEVEL 2,LOT IDENTIFICATION
ns_000004,STRIP RESIST,STRIP PHOTORESIST,FINAL CD INSPECTION,WAFER SORT TEST,MEASURE PASSIVATION THICKNESS
ns_000005,EXPOSE LITHO LEVEL 3,ALIGN MASK LEVEL 3,EXPOSE LITHO LEVEL 6,EXPOSE LITHO LEVEL 4,CLEAN AFTER OXIDE ETCH
ns_000006,YIELD ANALYSIS,WAFER SORT TEST,FINAL LOT RELEASE,LOT RELEASE,CMP DIELECTRIC
ns_000007,ALIGN MASK LEVEL 1,DEPOSIT BACKSIDE METAL,PATTERN INSPECTION LEVEL 1,EPITAXY PREP,LEAKAGE TEST
ns_000008,DEPOSIT METAL SEED,FILL VIA METAL,INSPECT PATTERN LEVEL 1,EPITAXIAL DEPOSITION,CLEAN PAD OPENING
ns_000009,MEASURE JUNCTION PROFILE,DEPOSIT INTERLEVEL DIELECTRIC,DEPOSIT INTERLAYER DIELECTRIC,MEASURE DEVICE PARAMETER,DRIVE IN DIFFUSION
ns_000010,MEASURE OPENING CD,IMPLANT WELL,IMPLANT P BODY,MEASURE POLY THICKNESS,OXIDE ETCH DRY
ns_000011,MEASURE POLY THICKNESS,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,MEASURE FILM THICKNESS,DEPOSIT POLYSILICON
ns_000012,EXPOSE LITHO LEVEL 2,ALIGN MASK LEVEL 4,CLEAN AFTER WINDOW ETCH,EXPOSE LITHO LEVEL 6,GATE OXIDE PREP
ns_000013,DEVELOP PHOTORESIST,POST EXPOSE BAKE,DEVELOP PAD WINDOW,FINAL GEOMETRY CHECK,ELECTRICAL PARAMETRIC TEST
ns_000014,DEVELOP PHOTORESIST,POST EXPOSE BAKE,DEVELOP PAD WINDOW,DEPOSIT GATE OXIDE OR DIELECTRIC,PARAMETRIC TEST
ns_000015,FINAL CLEAN,BACKSIDE ANNEAL,BACKSIDE DRY,SHIP LOT,BREAKDOWN VOLTAGE TEST
ns_000016,HARD BAKE,VIA ETCH,DIELECTRIC ETCH VIA,VIA ETCH THROUGH DIELECTRIC,METAL ETCH DRY
ns_000017,MEASURE WAFER THICKNESS,MEASURE THICKNESS,MEASURE INITIAL THICKNESS,MEASURE SURFACE PARTICLES,PRE CLEAN WAFER
ns_000018,DEPOSIT METAL SEED,FILL VIA METAL,EPITAXIAL DEPOSITION,INSPECT PATTERN LEVEL 1,CLEAN PAD OPENING
ns_000019,FILL VIA METAL,DEPOSIT METAL SEED,ALIGN MASK LEVEL 6,DEPOSIT SPACER DIELECTRIC,MEASURE OPENING CD
ns_000020,MEASURE FILM THICKNESS,MEASURE DIELECTRIC THICKNESS,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,DENSIFY DIELECTRIC
ns_000021,POLYSILICON ETCH,HARD BAKE,POLYSILICON ETCH DRY,OXIDE ETCH,METAL ETCH
ns_000022,EPITAXY ANNEAL,CLEAN AFTER FIELD ETCH,WAFER SURFACE CLEAN,LEAKAGE TEST,CURE PASSIVATION
ns_000023,OXIDE ETCH,HARD BAKE,FIELD OXIDE ETCH,POLYSILICON ETCH,OXIDE ETCH DRY
ns_000024,FILL VIA METAL,DEPOSIT METAL SEED,MEASURE OPENING CD,DEPOSIT SPACER DIELECTRIC,ALIGN MASK LEVEL 6
ns_000025,MEASURE SURFACE PLANARITY,MEASURE PLANARITY,CMP INTERLAYER DIELECTRIC,CMP DIELECTRIC,ALIGN MASK LEVEL 3
ns_000026,BACKSIDE ANNEAL,LEAKAGE TEST,MEASURE BACKSIDE CONTACT,BACKSIDE METALLIZATION PREP,PASSIVATION ETCH
ns_000027,BACKSIDE GRIND,MEASURE PAD OPENING,BACKSIDE ETCH CLEAN,CLEAN PAD OPENING,FINAL THICKNESS MEASURE
ns_000028,GATE OXIDE GROWTH,ALIGN MASK LEVEL 2,GATE OXIDE PREP,DEPOSIT BACKSIDE METAL,LEAKAGE TEST
ns_000029,PATTERN INSPECTION LEVEL 1,DEPOSIT BACKSIDE METAL,ALIGN MASK LEVEL 1,BREAKDOWN VOLTAGE TEST,ANNEAL DIELECTRIC
ns_000030,PARAMETRIC TEST,ELECTRICAL PARAMETRIC TEST,FINAL PARTICLE INSPECTION,FINAL CD INSPECTION,FINAL GEOMETRY CHECK
ns_000031,MEASURE JUNCTION PROFILE,DEPOSIT INTERLEVEL DIELECTRIC,DEPOSIT INTERLAYER DIELECTRIC,MEASURE DEVICE PARAMETER,DRIVE IN DIFFUSION
ns_000032,FINAL LOT RELEASE,LOT RELEASE,WAFER SORT TEST,YIELD ANALYSIS,BACKSIDE GRIND
ns_000033,EXPOSE LITHO LEVEL 1,MEASURE OXIDE THICKNESS,EXPOSE LITHO LEVEL 5,PATTERN INSPECTION LEVEL 1,CLEAN AFTER VIA ETCH
ns_000034,HARD BAKE,VIA ETCH,DIELECTRIC ETCH VIA,VIA ETCH THROUGH DIELECTRIC,METAL ETCH DRY
ns_000035,BACKSIDE CLEAN,FRONTSIDE CLEAN,WET CLEAN RCA1,RCA CLEAN 1,MEASURE OXIDE THICKNESS
ns_000036,MEASURE VIA CD,DEPOSIT BARRIER METAL,STRIP PHOTORESIST,STRIP RESIST,SPIN COAT PHOTORESIST
ns_000037,OPEN PAD WINDOW LITHO,PAD WINDOW LITHO,METAL PATTERN INSPECTION,BACKSIDE GRIND,EPITAXY PREP
ns_000038,MEASURE POLY THICKNESS,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,MEASURE FILM THICKNESS,DEPOSIT POLYSILICON
ns_000039,ANISOTROPIC ETCH SPACER,FIELD PATTERN INSPECTION,GATE OXIDE GROWTH,CLEAN AFTER FIELD ETCH,ALIGN MASK LEVEL 3
ns_000040,MEASURE VIA CD,DEPOSIT BARRIER METAL,STRIP PHOTORESIST,STRIP RESIST,FRONTSIDE CLEAN
ns_000041,DEPOSIT INTERLAYER DIELECTRIC,DEPOSIT INTERLEVEL DIELECTRIC,MEASURE JUNCTION PROFILE,MEASURE DEVICE PARAMETER,DEPOSIT FIELD OXIDE
ns_000042,MEASURE JUNCTION PROFILE,DEPOSIT INTERLEVEL DIELECTRIC,DEPOSIT INTERLAYER DIELECTRIC,MEASURE DEVICE PARAMETER,DRIVE IN DIFFUSION
ns_000043,MEASURE BACKSIDE CONTACT,THRESHOLD VOLTAGE TEST,FILL VIA METAL,SHIP LOT,BREAKDOWN VOLTAGE TEST
ns_000044,CURE PASSIVATION,METAL ETCH,MEASURE BACKSIDE CONTACT,MEASURE GATE OXIDE THICKNESS,POLY PATTERN INSPECTION
ns_000045,EXPOSE LITHO LEVEL 1,MEASURE OXIDE THICKNESS,EXPOSE LITHO LEVEL 5,PATTERN INSPECTION LEVEL 1,CLEAN AFTER VIA ETCH
ns_000046,MEASURE LINE WIDTH,DEPOSIT PASSIVATION,DEPOSIT PASSIVATION LAYER,DEVELOP PHOTORESIST,POST EXPOSE BAKE
ns_000047,WET CLEAN RCA1,RCA CLEAN 1,FRONTSIDE CLEAN,BACKSIDE CLEAN,EXPOSE LITHO LEVEL 1
ns_000048,THERMAL OXIDATION,MEASURE JUNCTION DEPTH,MEASURE DIELECTRIC THICKNESS,MEASURE OXIDE THICKNESS,MEASURE FILM THICKNESS
ns_000049,MEASURE GATE CD,IMPLANT SOURCE DRAIN,IMPLANT CHANNEL STOP,MEASURE LINE WIDTH,EPITAXIAL WAFER CHECK
ns_000050,BACKSIDE ANNEAL,LEAKAGE TEST,MEASURE BACKSIDE CONTACT,BACKSIDE METALLIZATION PREP,PASSIVATION ETCH
ns_000051,IMPLANT LDD,MEASURE SPACER WIDTH,IMPLANT SOURCE REGION,IMPLANT N BUFFER,METAL PATTERN INSPECTION
ns_000052,FILL VIA METAL,DEPOSIT METAL SEED,ALIGN MASK LEVEL 6,DEPOSIT SPACER DIELECTRIC,MEASURE OPENING CD
ns_000053,MEASURE RESISTIVITY,CLEAN AFTER OXIDE ETCH,EXPOSE LITHO LEVEL 3,EPITAXY ANNEAL,WAFER SURFACE CLEAN
ns_000054,EXPOSE LITHO LEVEL 4,EXPOSE LITHO LEVEL 6,EXPOSE LITHO LEVEL 3,ALIGN MASK LEVEL 4,FINAL CLEAN
ns_000055,STRIP RESIST,STRIP PHOTORESIST,FINAL CD INSPECTION,WAFER SORT TEST,MEASURE PASSIVATION THICKNESS
ns_000056,IMPLANT SOURCE DRAIN,MEASURE GATE CD,IMPLANT CHANNEL STOP,ALIGN MASK LEVEL 2,LOT IDENTIFICATION
ns_000057,STRIP RESIST,STRIP PHOTORESIST,FINAL CD INSPECTION,WAFER SORT TEST,MEASURE PASSIVATION THICKNESS
ns_000058,GATE OXIDE GROWTH,ALIGN MASK LEVEL 2,GATE OXIDE PREP,DEPOSIT BACKSIDE METAL,LEAKAGE TEST
ns_000059,DEVELOP PHOTORESIST,POST EXPOSE BAKE,DEVELOP PAD WINDOW,FINAL GEOMETRY CHECK,HARD BAKE
ns_000060,BACKSIDE ETCH CLEAN,BACKSIDE GRIND,ALIGN MASK LEVEL 6,MEASURE PAD OPENING,EXPOSE LITHO LEVEL 6
ns_000061,MEASURE LINE WIDTH,DEPOSIT PASSIVATION,DEPOSIT PASSIVATION LAYER,DEVELOP PHOTORESIST,POST EXPOSE BAKE
ns_000062,FINAL THICKNESS MEASURE,FINAL GEOMETRY CHECK,FINAL CD INSPECTION,FINAL PARTICLE INSPECTION,PARAMETRIC TEST
ns_000063,DEVELOP PHOTORESIST,POST EXPOSE BAKE,DEVELOP PAD WINDOW,FINAL GEOMETRY CHECK,ELECTRICAL PARAMETRIC TEST
ns_000064,DEVELOP PHOTORESIST,DEVELOP PAD WINDOW,POST EXPOSE BAKE,FRONTSIDE CLEAN,OPEN PAD WINDOW LITHO
ns_000065,MEASURE PASSIVATION THICKNESS,MEASURE PASSIVATION QUALITY,CURE PASSIVATION,POLY PATTERN INSPECTION,CLEAN AFTER WINDOW ETCH
ns_000066,DEPOSIT METAL SEED,FILL VIA METAL,EPITAXIAL DEPOSITION,RCA CLEAN 2,WET CLEAN RCA2
ns_000067,STRIP RESIST,STRIP PHOTORESIST,FINAL CD INSPECTION,WAFER SORT TEST,MEASURE PASSIVATION THICKNESS
ns_000068,THRESHOLD VOLTAGE TEST,BREAKDOWN VOLTAGE TEST,SHIP LOT,BACKSIDE CLEAN FINAL,MEASURE SURFACE DEFECTS
ns_000069,MEASURE SPACER WIDTH,IMPLANT LDD,BACKSIDE CLEAN,POST EXPOSE BAKE,DEPOSIT SPACER DIELECTRIC
ns_000070,CLEAN AFTER METAL ETCH,ALIGN MASK LEVEL 6,METAL PATTERN INSPECTION,CLEAN PAD OPENING,THRESHOLD VOLTAGE TEST
ns_000071,MEASURE CONTACT RESISTANCE,MEASURE VIA RESISTANCE,DEPOSIT METAL 1,DEPOSIT TOP METAL,RAPID THERMAL ANNEAL
ns_000072,BACKSIDE CLEAN,FRONTSIDE CLEAN,WET CLEAN RCA1,RCA CLEAN 1,MEASURE OXIDE THICKNESS
ns_000073,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,MEASURE POLY THICKNESS,MEASURE FILM THICKNESS,MEASURE DIELECTRIC THICKNESS
ns_000074,ALIGN MASK LEVEL 3,EXPOSE LITHO LEVEL 3,ALIGN MASK LEVEL 5,ALIGN MASK LEVEL 4,ANISOTROPIC ETCH SPACER
ns_000075,SOFT BAKE,DEPOSIT METAL 1,DEPOSIT TOP METAL,DEPOSIT PASSIVATION LAYER,IMPLANT WELL
ns_000076,ALIGN MASK LEVEL 3,EXPOSE LITHO LEVEL 3,ALIGN MASK LEVEL 5,ALIGN MASK LEVEL 4,ANISOTROPIC ETCH SPACER
ns_000077,MEASURE LINE WIDTH,DEPOSIT PASSIVATION,DEPOSIT PASSIVATION LAYER,DEVELOP PHOTORESIST,POST EXPOSE BAKE
ns_000078,MEASURE SPACER WIDTH,IMPLANT LDD,BACKSIDE CLEAN,POST EXPOSE BAKE,DEPOSIT SPACER DIELECTRIC
ns_000079,FINAL LOT RELEASE,LOT RELEASE,WAFER SORT TEST,YIELD ANALYSIS,BACKSIDE GRIND
ns_000080,CLEAN AFTER METAL ETCH,ALIGN MASK LEVEL 6,METAL PATTERN INSPECTION,THRESHOLD VOLTAGE TEST,MEASURE PAD OPENING
ns_000081,EXPOSE LITHO LEVEL 3,EXPOSE LITHO LEVEL 6,ALIGN MASK LEVEL 3,EXPOSE LITHO LEVEL 4,CLEAN AFTER OXIDE ETCH
ns_000082,STRIP RESIST,STRIP PHOTORESIST,FINAL CD INSPECTION,WAFER SORT TEST,MEASURE PASSIVATION THICKNESS
ns_000083,STRIP RESIST,STRIP PHOTORESIST,FINAL CD INSPECTION,WAFER SORT TEST,MEASURE PASSIVATION THICKNESS
ns_000084,ANISOTROPIC ETCH SPACER,FIELD PATTERN INSPECTION,GATE OXIDE GROWTH,CLEAN AFTER FIELD ETCH,ALIGN MASK LEVEL 3
ns_000085,FINAL LOT RELEASE,LOT RELEASE,WAFER SORT TEST,YIELD ANALYSIS,BACKSIDE GRIND
ns_000086,VIA OPENING INSPECTION,VIA INSPECTION,POLY PATTERN INSPECTION,INSPECT PATTERN LEVEL 1,ALIGN MASK LEVEL 3
ns_000087,EXPOSE LITHO LEVEL 2,CLEAN AFTER WINDOW ETCH,ALIGN MASK LEVEL 4,GATE OXIDE PREP,EXPOSE LITHO LEVEL 6
ns_000088,PRE ANNEAL CHECK,DRIVE IN DIFFUSION,RAPID THERMAL ANNEAL,LIGHT ANNEAL,IMPLANT N BUFFER
ns_000089,IMPLANT LDD,MEASURE SPACER WIDTH,IMPLANT SOURCE REGION,IMPLANT N BUFFER,METAL PATTERN INSPECTION
ns_000090,YIELD ANALYSIS,WAFER SORT TEST,CMP DIELECTRIC,CMP INTERLAYER DIELECTRIC,FINAL LOT RELEASE
ns_000091,SOFT BAKE,DEPOSIT METAL 1,DEPOSIT TOP METAL,DEPOSIT PASSIVATION LAYER,DENSIFY DIELECTRIC
ns_000092,THERMAL OXIDATION,MEASURE JUNCTION DEPTH,MEASURE OXIDE THICKNESS,MEASURE DIELECTRIC THICKNESS,MEASURE FILM THICKNESS
ns_000093,MEASURE OPENING CD,IMPLANT WELL,IMPLANT P BODY,MEASURE POLY THICKNESS,STRIP RESIST
ns_000094,EXPOSE LITHO LEVEL 3,ALIGN MASK LEVEL 3,EXPOSE LITHO LEVEL 4,EXPOSE LITHO LEVEL 6,CLEAN AFTER OXIDE ETCH
ns_000095,DEPOSIT METAL 1,DEPOSIT TOP METAL,MEASURE CONTACT RESISTANCE,MEASURE VIA RESISTANCE,SOFT BAKE
ns_000096,ANNEAL METAL,ANNEAL METAL 1,CLEAN AFTER WINDOW ETCH,CLEAN AFTER ETCH,MEASURE EPITAXY THICKNESS
ns_000097,CLEAN AFTER VIA ETCH,DEPOSIT METAL SEED,BACKSIDE ANNEAL,CLEAN AFTER METAL ETCH,EXPOSE LITHO LEVEL 5
ns_000098,HARD BAKE,VIA ETCH,DIELECTRIC ETCH VIA,VIA ETCH THROUGH DIELECTRIC,METAL ETCH DRY
