iter,train_loss,val_loss,top1,top3,top5,lr,grad_norm
0,5.410407543182373,5.355402708053589,0.003964334611638251,0.02009867696576277,0.036923258564983526,5.999999999999999e-06,4.5363078117370605
200,0.31513726711273193,0.3206559544801712,0.8171842325742972,0.9960969695318407,0.999979565285507,0.0005991244731962367,0.16854192316532135
400,0.3117538094520569,0.31509518802165987,0.8157038510354724,0.9961877904851428,0.999979565285507,0.000592154290705034,0.19214527308940887
600,0.31402021646499634,0.31436415791511535,0.818553358445327,0.9962490946286218,0.999979565285507,0.0005783944497878825,0.24404175579547882
800,0.31053727865219116,0.3133573478460312,0.8180992536788162,0.9962059546758033,0.9999841063331721,0.0005582013230968246,0.21109865605831146
1000,0.3095681071281433,0.31260102152824404,0.8199724358406728,0.9962559062001194,0.999979565285507,0.0005320979020061972,0.19127386808395386
1200,0.31322717666625977,0.3114560204744339,0.8190074632118376,0.996192331532808,0.999979565285507,0.0005007602514107518,0.20910176634788513
1400,0.31365880370140076,0.3106544589996338,0.8195909878368038,0.9962695293431147,0.999979565285507,0.0004649999999999999,0.13803158700466156
1600,0.31228214502334595,0.31166461646556853,0.8183966923008807,0.9960946990080082,0.999979565285507,0.00042574331950148453,0.2844511866569519
1800,0.31420764327049255,0.31092791438102724,0.8170184843345208,0.9961946020566405,0.9999841063331721,0.00038400693731953194,0.17590820789337158
2000,0.30921685695648193,0.3105772393941879,0.8184511848728621,0.9961832494374777,0.999979565285507,0.00034087180382954207,0.1921771913766861
2200,0.31558436155319214,0.31039063274860385,0.820022387364989,0.9961469210561569,0.9999841063331721,0.0002974550963310628,0.15916502475738525
2400,0.3111320436000824,0.31025902152061463,0.8198498275537149,0.9962400125332915,0.999979565285507,0.00025488128474255775,0.16601483523845673
2600,0.3058444559574127,0.30972355604171753,0.8193366891675579,0.9961015105795058,0.999979565285507,0.0002142530084211753,0.15715710818767548
2800,0.3099672496318817,0.30958121597766874,0.8200133052696588,0.9962082251996358,0.999979565285507,0.00017662251838258794,0.12902037799358368
3000,0.30868256092071533,0.309599871635437,0.8195092489788319,0.9961946020566405,0.9999841063331721,0.00014296442455240816,0.16849493980407715
3200,0.30860215425491333,0.3090822625160217,0.8199996821266634,0.9961469210561569,0.999979565285507,0.00011415045388105474,0.12501518428325653
3400,0.30774304270744324,0.3091189020872116,0.8197953349817336,0.9962808819622775,0.999979565285507,9.092687307363334e-05,0.1377696841955185
3600,0.30549123883247375,0.3089383107423782,0.8193321481198927,0.9961332979131615,0.9999841063331721,7.389516067427072e-05,0.13797295093536377
3800,0.3091095983982086,0.30874087631702424,0.820490115274495,0.9962445535809566,0.999979565285507,6.349642908776353e-05,0.12857875227928162
4000,0.3057142198085785,0.30898702025413516,0.8198157696962266,0.9962422830571241,0.999979565285507,6e-05,0.10579339414834976
