EXAMPLE_ID,RANK_1,RANK_2,RANK_3,RANK_4,RANK_5
ns_000001,ALIGN MASK LEVEL 2,ALIGN MASK LEVEL 1,ALIGN MASK LEVEL 4,ALIGN MASK LEVEL 3,EXPOSE LITHO LEVEL 2
ns_000002,STRIP RESIST,STRIP PHOTORESIST,DEVELOP PHOTORESIST,DEVELOP PAD WINDOW,MEASURE GATE CD
ns_000003,IMPLANT SOURCE DRAIN,MEASURE GATE CD,IMPLANT WELL,IMPLANT SOURCE REGION,IMPLANT N BUFFER
ns_000004,STRIP RESIST,STRIP PHOTORESIST,DEVELOP PHOTORESIST,DEVELOP PAD WINDOW,SPIN COAT PHOTORESIST
ns_000005,EXPOSE LITHO LEVEL 3,EXPOSE LITHO LEVEL 1,ALIGN MASK LEVEL 3,EXPOSE LITHO LEVEL 2,EXPOSE LITHO LEVEL 4
ns_000006,YIELD ANALYSIS,WAFER SORT TEST,SUBSTRATE CHECK,LOT RELEASE,FINAL LOT RELEASE
ns_000007,ALIGN MASK LEVEL 1,ALIGN MASK LEVEL 2,ALIGN MASK LEVEL 3,EXPOSE LITHO LEVEL 1,ALIGN MASK LEVEL 4
ns_000008,DEPOSIT METAL SEED,FILL VIA METAL,DEPOSIT BARRIER METAL,CLEAN AFTER VIA ETCH,BACKSIDE METALLIZATION PREP
ns_000009,MEASURE JUNCTION PROFILE,DEPOSIT INTERLEVEL DIELECTRIC,DEPOSIT INTERLAYER DIELECTRIC,MEASURE DEVICE PARAMETER,MEASURE JUNCTION DEPTH
ns_000010,MEASURE OPENING CD,IMPLANT WELL,IMPLANT P BODY,MEASURE WINDOW CD,MEASURE GATE CD
ns_000011,MEASURE POLY THICKNESS,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,MEASURE FILM THICKNESS,DEVELOP PHOTORESIST
ns_000012,EXPOSE LITHO LEVEL 2,EXPOSE LITHO LEVEL 3,EXPOSE LITHO LEVEL 1,EXPOSE LITHO LEVEL 4,EXPOSE LITHO LEVEL 6
