EXAMPLE_ID,RANK_1,RANK_2,RANK_3,RANK_4,RANK_5
ns_000001,ALIGN MASK LEVEL 2,INSPECT PATTERN LEVEL 1,ALIGN MASK LEVEL 1,POLY PATTERN INSPECTION,DEPOSIT BACKSIDE METAL
ns_000002,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,FINAL CD INSPECTION,FINAL ELECTRICAL TEST PREP
ns_000003,IMPLANT SOURCE DRAIN,MEASURE GATE CD,IMPLANT LDD,WAFER CLEAN PRE-GRIND,MEASURE LINE WIDTH
ns_000004,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,FINAL CD INSPECTION,FINAL ELECTRICAL TEST PREP
ns_000005,EXPOSE LITHO LEVEL 3,ALIGN MASK LEVEL 3,EXPOSE LITHO LEVEL 4,EXPOSE LITHO LEVEL 1,EXPOSE LITHO LEVEL 2
ns_000006,YIELD ANALYSIS,MEASURE BACKSIDE CONTACT,LEAKAGE TEST,WAFER SORT TEST,DEPOSIT BACKSIDE PROTECTION
ns_000007,ALIGN MASK LEVEL 1,MEASURE RESISTIVITY,PATTERN INSPECTION LEVEL 1,ALIGN MASK LEVEL 4,DEPOSIT PAD OXIDE
ns_000008,DEPOSIT METAL SEED,DEPOSIT TUNGSTEN SEED,FILL VIA METAL,ALIGN MASK LEVEL 4,METAL PATTERN INSPECTION
ns_000009,MEASURE JUNCTION PROFILE,DEPOSIT INTERLEVEL DIELECTRIC,DEPOSIT INTERLAYER DIELECTRIC,MEASURE SHEET RESISTANCE,MEASURE FILM THICKNESS
ns_000010,MEASURE OPENING CD,IMPLANT WELL,MEASURE INITIAL GEOMETRY,POST EXPOSE BAKE,WET CLEAN RCA2
ns_000011,MEASURE POLY THICKNESS,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,DEPOSIT POLYSILICON,RCA CLEAN 1
ns_000012,EXPOSE LITHO LEVEL 2,EXPOSE LITHO LEVEL 4,EXPOSE LITHO LEVEL 1,CLEAN AFTER POLY ETCH,EXPOSE LITHO LEVEL 3
ns_000013,DEVELOP PHOTORESIST,POST EXPOSE BAKE,DEVELOP PAD WINDOW,MEASURE OXIDE THICKNESS,FINAL PARTICLE INSPECTION
ns_000014,DEVELOP PHOTORESIST,POST EXPOSE BAKE,DEVELOP PAD WINDOW,SUBSTRATE CHECK,STRIP RESIST
ns_000015,FINAL CLEAN,FRONTSIDE CLEAN FINAL,VIA OPENING INSPECTION,VIA INSPECTION,FINAL THICKNESS MEASURE
ns_000016,HARD BAKE,VIA ETCH,DIELECTRIC ETCH VIA,VIA ETCH THROUGH DIELECTRIC,POLYSILICON ETCH
ns_000017,MEASURE WAFER THICKNESS,MEASURE THICKNESS,MEASURE INITIAL THICKNESS,MEASURE INITIAL GEOMETRY,MEASURE SURFACE PARTICLES
ns_000018,DEPOSIT METAL SEED,FILL VIA METAL,DEPOSIT TUNGSTEN SEED,ALIGN MASK LEVEL 4,BACKSIDE GRIND
ns_000019,FILL VIA METAL,DEPOSIT METAL SEED,FILL VIA TUNGSTEN,ALIGN MASK LEVEL 4,ALIGN MASK LEVEL 3
ns_000020,MEASURE DIELECTRIC THICKNESS,MEASURE FILM THICKNESS,MEASURE OXIDE THICKNESS,THERMAL OXIDATION,DEVELOP PHOTORESIST
ns_000021,POLYSILICON ETCH,HARD BAKE,OXIDE ETCH,POLYSILICON ETCH DRY,VIA ETCH
ns_000022,EPITAXY ANNEAL,MEASURE RESISTIVITY,OXIDE STRIP,ETCH WET BACKSIDE,LEAKAGE TEST
ns_000023,OXIDE ETCH,HARD BAKE,POLYSILICON ETCH,POLYSILICON ETCH DRY,METAL ETCH DRY
ns_000024,FILL VIA METAL,DEPOSIT METAL SEED,FILL VIA TUNGSTEN,ALIGN MASK LEVEL 4,ALIGN MASK LEVEL 3
ns_000025,MEASURE PLANARITY,MEASURE SURFACE PLANARITY,CMP DIELECTRIC,CMP INTERLAYER DIELECTRIC,MEASURE METAL THICKNESS
ns_000026,BACKSIDE ANNEAL,MEASURE BACKSIDE CONTACT,LEAKAGE TEST,DEPOSIT BACKSIDE METAL,BACKSIDE ETCH CLEAN
ns_000027,BACKSIDE GRIND,BACKSIDE ETCH CLEAN,BACKSIDE METALLIZATION PREP,MEASURE BACKSIDE CONTACT,BACKSIDE RINSE
ns_000028,GATE OXIDE GROWTH,POLYSILICON ANNEAL,MEASURE GATE OXIDE THICKNESS,GATE OXIDE PREP,DEPOSIT BACKSIDE METAL
ns_000029,PATTERN INSPECTION LEVEL 1,INSPECT PATTERN LEVEL 1,DEPOSIT BACKSIDE METAL,SURFACE PREP FOR DEPOSITION,CLEAN AFTER ETCH
ns_000030,ELECTRICAL PARAMETRIC TEST,PARAMETRIC TEST,FINAL PARTICLE INSPECTION,FINAL ELECTRICAL TEST PREP,THRESHOLD VOLTAGE TEST
ns_000031,MEASURE JUNCTION PROFILE,DEPOSIT INTERLEVEL DIELECTRIC,DEPOSIT INTERLAYER DIELECTRIC,MEASURE SHEET RESISTANCE,MEASURE FILM THICKNESS
ns_000032,FINAL LOT RELEASE,LOT RELEASE,SOFT BAKE,IMPLANT WELL,LOT IDENTIFICATION
ns_000033,EXPOSE LITHO LEVEL 1,EXPOSE LITHO LEVEL 3,EXPOSE LITHO LEVEL 2,EXPOSE LITHO LEVEL 4,GRINDING WAFER BACKSIDE
ns_000034,HARD BAKE,VIA ETCH,DIELECTRIC ETCH VIA,VIA ETCH THROUGH DIELECTRIC,POLYSILICON ETCH
ns_000035,BACKSIDE CLEAN,BACKSIDE CLEAN FINAL,FRONTSIDE CLEAN,WET CLEAN RCA1,RCA CLEAN 1
ns_000036,MEASURE VIA CD,DEPOSIT BARRIER METAL,ELECTRICAL PARAMETRIC TEST,STRIP PHOTORESIST,PARAMETRIC TEST
