EXAMPLE_ID,RANK_1,RANK_2,RANK_3,RANK_4,RANK_5
ns_000001,ALIGN MASK LEVEL 2,ALIGN MASK LEVEL 3,ALIGN MASK LEVEL 4,EXPOSE LITHO LEVEL 2,ALIGN MASK LEVEL 1
ns_000002,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST
ns_000003,IMPLANT SOURCE DRAIN,MEASURE GATE CD,IMPLANT WELL,IMPLANT N-TYPE,IMPLANT LDD
ns_000004,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,DEVELOP PHOTORESIST,PRE ANNEAL CHECK
ns_000005,EXPOSE LITHO LEVEL 3,EXPOSE LITHO LEVEL 4,CLEAN AFTER VIA ETCH,EXPOSE LITHO LEVEL 1,ALIGN MASK LEVEL 3
ns_000006,YIELD ANALYSIS,WAFER SORT TEST,EXPOSE LITHO LEVEL 4,INSPECT PATTERN LEVEL 1,ALIGN MASK LEVEL 4
ns_000007,ALIGN MASK LEVEL 1,ALIGN MASK LEVEL 2,WAFER SURFACE CLEAN,ALIGN MASK LEVEL 3,ALIGN MASK LEVEL 4
ns_000008,DEPOSIT METAL SEED,DEPOSIT TUNGSTEN SEED,POLYSILICON ANNEAL,CLEAN AFTER VIA ETCH,BACKSIDE DRY
ns_000009,MEASURE JUNCTION PROFILE,DEPOSIT INTERLEVEL DIELECTRIC,DEPOSIT INTERLAYER DIELECTRIC,MEASURE SHEET RESISTANCE,DENSIFY OXIDE
ns_000010,MEASURE OPENING CD,IMPLANT WELL,OXIDE ETCH,MEASURE CD LEVEL 1,DRIVE IN DIFFUSION
ns_000011,MEASURE POLY THICKNESS,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,MEASURE OXIDE THICKNESS,MEASURE FILM THICKNESS
ns_000012,EXPOSE LITHO LEVEL 2,EXPOSE LITHO LEVEL 3,EXPOSE LITHO LEVEL 4,ALIGN MASK LEVEL 2,PATTERN INSPECTION LEVEL 2
ns_000013,DEVELOP PHOTORESIST,POST EXPOSE BAKE,DEVELOP PAD WINDOW,STRIP RESIST,STRIP PHOTORESIST
ns_000014,DEVELOP PHOTORESIST,POST EXPOSE BAKE,DEVELOP PAD WINDOW,STRIP PHOTORESIST,SPIN COAT PHOTORESIST
ns_000015,FINAL CLEAN,FRONTSIDE CLEAN FINAL,CLEAN AFTER METAL ETCH,FINAL THICKNESS MEASURE,BACKSIDE CLEAN
