EXAMPLE_ID,RANK_1,RANK_2,RANK_3,RANK_4,RANK_5
ns_000001,ALIGN MASK LEVEL 2,ALIGN MASK LEVEL 3,P BODY WINDOW INSPECTION,CLEAN AFTER WINDOW ETCH,ANNEAL POLYSILICON
ns_000002,BACKSIDE CLEAN,BACKSIDE CLEAN FINAL,BACKSIDE THINNING CHECK,FRONTSIDE CLEAN,WAFER SORT TEST
ns_000003,IMPLANT CHANNEL STOP,MEASURE GATE CD,IMPLANT N-TYPE,IMPLANT N BUFFER,CLEAN AFTER POLY ETCH
ns_000004,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,WAFER SORT TEST,IMPLANT SOURCE REGION
ns_000005,EXPOSE LITHO LEVEL 3,EXPOSE LITHO LEVEL 5,EXPOSE LITHO LEVEL 4,EXPOSE LITHO LEVEL 1,ALIGN MASK LEVEL 3
ns_000006,YIELD ANALYSIS,WAFER SORT TEST,ELECTRICAL PARAMETRIC TEST,SOFT BAKE,CMP DIELECTRIC
ns_000007,ALIGN MASK LEVEL 1,CLEAN AFTER OXIDE ETCH,MEASURE EPITAXY THICKNESS,LEAKAGE TEST,ALIGN MASK LEVEL 5
ns_000008,DEPOSIT TUNGSTEN SEED,DEPOSIT METAL SEED,CLEAN AFTER VIA ETCH,CLEAN AFTER METAL ETCH,ANNEAL POLYSILICON
ns_000009,MEASURE SHEET RESISTANCE,DEPOSIT INTERLAYER DIELECTRIC,DEPOSIT INTERLEVEL DIELECTRIC,DEPOSIT GATE OXIDE OR DIELECTRIC,DEPOSIT FIELD OXIDE
ns_000010,MEASURE CD LEVEL 1,DEPOSIT POLYSILICON,MEASURE OXIDE QUALITY,OXIDE ETCH DRY,EPITAXIAL LAYER PREP
ns_000011,MEASURE POLY THICKNESS,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,MEASURE FILM THICKNESS,RCA CLEAN 2
ns_000012,EXPOSE LITHO LEVEL 2,EXPOSE LITHO LEVEL 4,EXPOSE LITHO LEVEL 1,EXPOSE LITHO LEVEL 6,CLEAN PAD OPENING
ns_000013,DEVELOP PHOTORESIST,POST EXPOSE BAKE,DEVELOP PAD WINDOW,STRIP RESIST,WAFER CLEAN PRE PROCESS
ns_000014,DEVELOP PHOTORESIST,POST EXPOSE BAKE,DEVELOP PAD WINDOW,MEASURE INITIAL GEOMETRY,MEASURE SHEET RESISTANCE
ns_000015,FINAL CLEAN,FRONTSIDE CLEAN FINAL,ALIGN MASK LEVEL 2,CMP METAL,DEPOSIT GATE OXIDE OR DIELECTRIC
ns_000016,HARD BAKE,DIELECTRIC ETCH VIA,VIA ETCH,VIA ETCH THROUGH DIELECTRIC,POLYSILICON ETCH DRY
ns_000017,MEASURE WAFER THICKNESS,MEASURE THICKNESS,POLYSILICON ANNEAL,BACKSIDE ETCH CLEAN,BACKSIDE DRY
ns_000018,DEPOSIT TUNGSTEN SEED,DEPOSIT METAL SEED,CLEAN AFTER METAL ETCH,MEASURE EPITAXY THICKNESS,CLEAN AFTER VIA ETCH
ns_000019,FILL VIA METAL,FILL VIA TUNGSTEN,DEPOSIT METAL SEED,EXPOSE LITHO LEVEL 6,CMP VIA FILL
ns_000020,MEASURE DIELECTRIC THICKNESS,MEASURE FILM THICKNESS,MEASURE OXIDE THICKNESS,SPIN COAT PHOTORESIST,MEASURE POLY THICKNESS
