EXAMPLE_ID,RANK_1,RANK_2,RANK_3,RANK_4,RANK_5
ns_000001,ALIGN MASK LEVEL 3,ALIGN MASK LEVEL 2,ALIGN MASK LEVEL 5,ALIGN MASK LEVEL 4,ALIGN MASK LEVEL 1
ns_000002,BACKSIDE CLEAN,BACKSIDE CLEAN FINAL,BACKSIDE THINNING CHECK,FINAL CLEAN,ELECTRICAL PARAMETRIC TEST
ns_000003,IMPLANT CHANNEL STOP,IMPLANT N-TYPE,IMPLANT N BUFFER,IMPLANT SOURCE REGION,IMPLANT P BODY
ns_000004,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,DEVELOP PHOTORESIST,SPIN COAT PHOTORESIST
ns_000005,EXPOSE LITHO LEVEL 4,EXPOSE LITHO LEVEL 3,EXPOSE LITHO LEVEL 2,EXPOSE LITHO LEVEL 1,EXPOSE LITHO LEVEL 5
ns_000006,YIELD ANALYSIS,WAFER SORT TEST,LOT RELEASE,FINAL THICKNESS MEASURE,FINAL LOT RELEASE
ns_000007,ALIGN MASK LEVEL 1,ALIGN MASK LEVEL 2,ALIGN MASK LEVEL 3,ALIGN MASK LEVEL 5,ALIGN MASK LEVEL 4
ns_000008,DEPOSIT METAL SEED,DEPOSIT TUNGSTEN SEED,BACKSIDE DRY,ANNEAL DIELECTRIC,POLYSILICON ANNEAL
ns_000009,MEASURE SHEET RESISTANCE,DEPOSIT GATE OXIDE OR DIELECTRIC,DEPOSIT INTERLAYER DIELECTRIC,DEPOSIT INTERLEVEL DIELECTRIC,DEPOSIT FIELD OXIDE
ns_000010,MEASURE CD LEVEL 1,DEPOSIT POLYSILICON,MEASURE OPENING CD,IMPLANT P BODY,MEASURE OXIDE QUALITY
ns_000011,MEASURE POLY THICKNESS,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS,MEASURE FILM THICKNESS,POST EXPOSE BAKE
ns_000012,EXPOSE LITHO LEVEL 3,EXPOSE LITHO LEVEL 2,EXPOSE LITHO LEVEL 1,EXPOSE LITHO LEVEL 4,EXPOSE LITHO LEVEL 5
ns_000013,DEVELOP PHOTORESIST,POST EXPOSE BAKE,DEVELOP PAD WINDOW,PRE ANNEAL CHECK,SPIN COAT PHOTORESIST
ns_000014,DEVELOP PHOTORESIST,POST EXPOSE BAKE,DEVELOP PAD WINDOW,STRIP PHOTORESIST,SPIN COAT PHOTORESIST
ns_000015,FINAL CLEAN,FRONTSIDE CLEAN FINAL,SWITCHING TEST,FINAL THICKNESS MEASURE,FINAL CD INSPECTION
ns_000016,HARD BAKE,DIELECTRIC ETCH VIA,VIA ETCH,VIA ETCH THROUGH DIELECTRIC,METAL ETCH DRY
ns_000017,MEASURE WAFER THICKNESS,MEASURE THICKNESS,FINAL THICKNESS MEASURE,MEASURE DIELECTRIC THICKNESS,BACKSIDE RINSE
ns_000018,DEPOSIT METAL SEED,DEPOSIT TUNGSTEN SEED,BACKSIDE DRY,CLEAN AFTER OXIDE ETCH,POLYSILICON ANNEAL
ns_000019,FILL VIA METAL,FILL VIA TUNGSTEN,DEPOSIT BACKSIDE METAL,METAL PATTERN INSPECTION,OXIDE STRIP
ns_000020,MEASURE DIELECTRIC THICKNESS,MEASURE FILM THICKNESS,MEASURE OXIDE THICKNESS,SPIN COAT PHOTORESIST,MEASURE METAL THICKNESS
ns_000021,POLYSILICON ETCH DRY,HARD BAKE,FIELD OXIDE ETCH,METAL ETCH DRY,OXIDE ETCH DRY
ns_000022,EPITAXIAL LAYER PREP,EPITAXIAL REWORK CHECK,DEPOSIT FIELD OXIDE,EPITAXIAL WAFER CHECK,MEASURE SHEET RESISTANCE
ns_000023,OXIDE ETCH DRY,HARD BAKE,METAL ETCH DRY,POLYSILICON ETCH DRY,ETCH SILICON OR OXIDE WINDOW
ns_000024,FILL VIA METAL,DEPOSIT BACKSIDE METAL,FILL VIA TUNGSTEN,METAL PATTERN INSPECTION,IMPLANT DRAIN / CATHODE REGION
ns_000025,MEASURE SURFACE PLANARITY,MEASURE PLANARITY,CMP INTERLAYER DIELECTRIC,CMP DIELECTRIC,MEASURE METAL THICKNESS
ns_000026,BACKSIDE ANNEAL,MEASURE PAD OPENING,BACKSIDE DRY,CURE PASSIVATION,CLEAN PAD OPENING
ns_000027,DEPOSIT BACKSIDE PROTECTION,BACKSIDE RINSE,DEPOSIT BACKSIDE METAL,BACKSIDE METALLIZATION PREP,CLEAN PAD OPENING
ns_000028,ETCH SILICON OR OXIDE WINDOW,HARD BAKE,POLYSILICON ETCH DRY,OXIDE ETCH DRY,METAL ETCH DRY
ns_000029,INSPECT PATTERN LEVEL 1,P BODY WINDOW INSPECTION,FIELD PATTERN INSPECTION,PATTERN INSPECTION LEVEL 2,METAL PATTERN INSPECTION
ns_000030,PARAMETRIC TEST,ELECTRICAL PARAMETRIC TEST,FINAL ELECTRICAL TEST PREP,FINAL PARTICLE INSPECTION,THRESHOLD VOLTAGE TEST
ns_000031,MEASURE SHEET RESISTANCE,DEPOSIT GATE OXIDE OR DIELECTRIC,DEPOSIT INTERLAYER DIELECTRIC,DEPOSIT INTERLEVEL DIELECTRIC,DEPOSIT FIELD OXIDE
ns_000032,LOT RELEASE,FINAL LOT RELEASE,YIELD ANALYSIS,LOT IDENTIFICATION,WAFER SORT TEST
ns_000033,EXPOSE LITHO LEVEL 1,EXPOSE LITHO LEVEL 4,EXPOSE LITHO LEVEL 3,EXPOSE LITHO LEVEL 2,HF DIP
ns_000034,HARD BAKE,DIELECTRIC ETCH VIA,VIA ETCH,VIA ETCH THROUGH DIELECTRIC,POLYSILICON ETCH DRY
ns_000035,BACKSIDE THINNING CHECK,BACKSIDE CLEAN,BACKSIDE CLEAN FINAL,FRONTSIDE CLEAN,FINAL THICKNESS MEASURE
ns_000036,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEVELOP PHOTORESIST,STRIP RESIST,STRIP PHOTORESIST
